GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
998,United States (Metropolitan Portion),12683267028,12891795481,13265790126,13794531566,14300027093,14706457103,15024057016,15026108266,14595743531,15002118296,15229309333,15584714510,15898170419,16310562342,16826288856,17154930168,17619114703,18160699656,18642485171,18238881803,19387630694,19896599724,20436284297
10180,"Abilene, TX (Metropolitan Statistical Area)",5286630,5342042,5438921,5565831,5692062,6126025,6338833,6397914,6249007,6487399,6537181,6732935,6834707,6955561,6827936,6686943,6827152,7141273,7455255,7387697,7603626,8006032,8270864
10420,"Akron, OH (Metropolitan Statistical Area)",30570431,31915076,33064642,33703560,34562361,34159207,34801508,34677830,32495789,33289652,33366153,33664676,34425311,35267685,35587178,35715828,36424857,36883382,37473869,36128928,37703119,37672860,38081735
10500,"Albany, GA (Metropolitan Statistical Area)",5949216,6008442,6037163,6100758,6213286,6056539,5922264,5807549,5750321,5580803,5706573,5761812,5771682,5662279,5631247,5726021,5693673,5702355,5836949,5746053,6027659,6121212,6180188
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3603456,3814373,3675279,3959887,4051086,4304354,4026866,3936444,3876850,3843299,3880062,3921929,3993713,4116391,4318476,4575970,4505965,4802294,4930998,4822572,4907036,5043047,5130128
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",47437230,48101630,49676809,50657787,50908466,51466086,51668884,52477717,53495052,53969868,54394078,54571023,55520393,56398124,58040524,59466852,61024034,61119269,63778650,62655818,67674323,67717208,69401141
10740,"Albuquerque, NM (Metropolitan Statistical Area)",31949682,32556088,35758151,41416431,41006651,41740379,41417919,40809673,42298283,41851011,41033001,40418820,39726620,40534164,41038769,41719773,41881258,42671307,43920456,43329662,45653922,47447327,48602526
10780,"Alexandria, LA (Metropolitan Statistical Area)",5135940,5323808,5390946,5652163,6006625,6019344,5773629,5785386,5964246,6088048,6118976,6141512,6125289,6128956,5990445,6109568,6081708,6161095,6158801,5997466,6160094,6019646,6085726
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",45322830,45212235,41509141,38482366,38727700,38111986,39886392,40386178,39090940,40207637,40483258,40861586,41318333,41968278,42867530,44009635,44541436,44764523,46548544,44640909,46296228,47283842,49056765
11020,"Altoona, PA (Metropolitan Statistical Area)",5000013,4981865,5117548,5319910,5438855,5525970,5466313,5471724,5465177,5572848,5554266,5495715,5576289,5608926,5702495,5795705,5849536,5944931,6081711,5906303,6124259,6113273,6198024
11100,"Amarillo, TX (Metropolitan Statistical Area)",10295849,10486434,10645413,10773569,10841041,11341189,11672173,11791519,11759683,12234156,12342819,12277893,12602661,12937778,13389635,13198310,13044032,13439341,13785723,13850704,14398438,14399408,14958128
11180,"Ames, IA (Metropolitan Statistical Area)",4359482,4533576,4769864,4961875,5085953,5200779,5318320,5492371,5413074,5479890,5664146,5827954,6189154,6346832,6378329,6262087,6445208,6563479,6650160,6490136,6930649,6967531,6953270
11260,"Anchorage, AK (Metropolitan Statistical Area)",19053102,19357657,19850836,20362976,21252031,21155379,21554691,22610111,23681696,24770880,25040377,25192794,24774167,24860067,25917694,26237799,25842697,26029809,25958441,25275142,25922394,26293784,27263177
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",20219451,21482093,22014574,21824770,22442798,22301301,22809961,21421454,19816179,20560188,20745966,21349212,21589894,21956483,22761254,23269214,24040003,24649772,25636942,24986674,26296924,26969477,27760301
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3738470,3845020,3998886,4325523,4567037,4568102,4698563,4766737,4506202,4705487,4460812,4463867,4347654,4186770,4145820,4201651,4244400,4342966,4566934,4454207,4704903,4593362,4764871
11540,"Appleton, WI (Metropolitan Statistical Area)",10225354,10252669,10589836,10929690,11187815,11411926,11517506,11375752,10986695,11260901,11628002,12099383,12006075,12517201,13163364,13548679,13810008,14241692,14559468,13899096,14304265,14458872,14587128
11700,"Asheville, NC (Metropolitan Statistical Area)",14454305,14887462,15210221,15704099,16239128,16790977,16532150,16766765,16070117,16827135,17061801,16822011,17313244,17977568,18318327,18957843,19857995,20527515,21327114,20197261,21585685,22341153,23014243
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",7212649,7282235,7646266,7872090,8009521,8032551,8163681,8192675,8164635,8171038,8120618,8495200,8649397,8859145,9236868,9437802,9980018,10330759,10262828,9820806,10381004,10844316,11009814
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",271180503,273930846,282151814,298232221,313144329,318677886,322341537,313422430,298703209,304596013,311831237,318110620,327640035,342782600,360870172,380019119,398208502,413028711,429660232,416596291,444713055,461994504,471655708
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",14885170,15239133,15416388,15542545,16110806,16852467,16971731,17078265,14897257,14560848,14975251,14694547,14733142,14615733,14309767,13849789,13521560,13616155,13827163,13034081,14137139,14560232,15025707
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3256353,3430182,3660500,4089762,4289459,4420730,4568392,4677780,4587437,4748620,5070856,5332385,5401609,5477228,5711665,5896125,6138724,6112260,6348943,6202804,6592171,6609805,6987631
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",21399692,21628057,22448135,22952008,23049619,22883115,23907158,24271899,23899925,24494517,24936987,24994909,25156519,25340152,26348411,26785863,27076189,27499759,28035704,27879994,28606409,28933655,29419901
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",64775419,66909341,69086367,72843668,78926656,88478898,92714867,96906811,94659326,100803949,105577832,107474279,113893813,120352049,129620142,135023020,141102903,149306992,159060569,163580778,181070457,198524436,207470114
12540,"Bakersfield, CA (Metropolitan Statistical Area)",25755077,29012540,28711292,31081743,33134867,37563159,41176524,39972583,42593461,40698457,39989803,43796655,42835968,42916729,43391596,43552199,43812095,43894460,45410206,45610265,46383111,44626843,46941848
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",141753772,145493734,147934552,153324958,160635503,164034379,165116426,166658352,165598000,172392664,175490325,177705452,181180869,184038314,187802711,194266369,198332437,200409767,201619144,194807422,204812340,210176525,213539532
12620,"Bangor, ME (Metropolitan Statistical Area)",6125830,6282204,6279604,6483475,6604003,6527838,6539558,6410783,6408282,6422680,6285492,6179716,6183491,6185770,6233187,6362602,6360893,6599941,6788914,6769592,7006232,7134198,7231746
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",12068270,12212676,12319567,12657355,12504581,11982139,12131221,12443307,11930910,12267317,12516366,12440227,12583445,12898189,13032722,13066543,12764776,13042121,13473915,12718672,13656288,14177792,14483670
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",36995526,39600617,41398699,45907461,50532555,49421828,45423886,44527989,44957936,47526991,52506871,52740256,52788751,57818180,57139825,55172075,52326375,55749428,54339247,50120974,51789395,53386569,54901246
12980,"Battle Creek, MI (Metropolitan Statistical Area)",6016784,6122323,6221414,6382215,6532376,6592205,6634618,6435138,5942059,6115886,5948256,5929310,6088792,6143598,6321415,6457331,6450941,6467348,6451007,6350135,6861063,7135652,7197440
13020,"Bay City, MI (Metropolitan Statistical Area)",3779129,3791818,3853026,3864398,3914666,3904194,3900477,3756802,3720962,3851794,3850376,3851226,3877616,3695801,3683175,3690810,3539706,3631822,3570704,3545561,3866722,3812494,3628109
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",23048457,22028070,22576404,26923700,24233537,23879238,25941797,24983703,24707054,26802922,27305887,28728123,28753374,23642654,23371779,24007411,24454169,25657246,25456325,21896605,22255690,22263610,23715593
13220,"Beckley, WV (Metropolitan Statistical Area)",3890822,3938449,3899975,4011369,4211501,4224429,4265869,4498715,4380414,4544241,4652377,4540738,4365452,4157792,4016084,3817823,3990112,4064980,4193870,3926473,4034004,4207525,4319891
13380,"Bellingham, WA (Metropolitan Statistical Area)",8092167,8616255,8780833,8853719,10990017,9904637,10117804,9969854,10284103,10767357,9984816,9987094,9943259,10063857,10414824,11098634,11651236,12557637,13672902,14084817,14710172,14499419,15332005
13460,"Bend, OR (Metropolitan Statistical Area)",4991186,5206048,5492119,5753101,6277325,6710818,6948586,6771878,6194650,5997751,6076144,6240002,6668778,7354973,7936358,8708469,9523750,9881699,10449613,10418735,11514740,11957286,12442840
13740,"Billings, MT (Metropolitan Statistical Area)",6853158,6941624,7490577,7890355,7864476,8148507,8999124,8638201,8019578,8376632,8832218,8978312,9192825,9685280,10130744,9546121,10233635,10293847,10043143,9811492,10524739,10534335,10902157
13780,"Binghamton, NY (Metropolitan Statistical Area)",8852558,8824944,8849246,8906853,9020349,9430061,9804184,10446715,10467964,10995488,10990137,11050964,11018064,10928555,10912381,10631756,10763033,10788110,10859295,10328403,10558891,10423108,10481451
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",49778366,51457491,52459279,55088112,56827258,56449297,57220247,57319244,54622275,55215871,56259365,57546946,57511832,57547328,58757668,59499489,60645897,61853013,62875594,62130971,65544890,66668472,67728997
13900,"Bismarck, ND (Metropolitan Statistical Area)",4412602,4514635,4859019,5066841,5178403,5304282,5354143,5527609,5687715,5843680,6171095,7024993,7157026,7777332,8042870,7705256,7656673,7518448,7478889,7196852,7474067,7317369,7441169
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",5891796,5940594,6271269,6278187,6667184,6889264,7133077,6676961,6265579,6372359,6586300,6495074,6574343,6583636,6806624,6815425,7016349,7365216,7291368,7107815,7724088,8032148,8332201
14010,"Bloomington, IL (Metropolitan Statistical Area)",9325658,9576722,9902286,10291128,10400349,11207281,11159970,10847930,11001723,11435166,11469260,11732379,11715968,13074628,14045952,14588013,14476949,14530626,14977037,12371613,12262225,12393150,12363558
14020,"Bloomington, IN (Metropolitan Statistical Area)",5347251,5509728,5712833,5905617,6191243,6382690,6264263,6274739,6235885,6349737,6397739,6383644,6518398,6873996,6794290,6977313,7406889,7670488,7574999,7288192,7511738,7803811,7906987
